function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00058,FUN_71000133d0,unidentified_function_71000133d0,71000133d0,internal,recovered_body,0,,,,4795207,4795272,161653331,161654739,161653325,161654739,src/functions/internal/batch_00/7100000000/1981_functions.inc,280180,"undefined8 FUN_71000133d0(uint param_1,long *param_2,ulong *param_3)"
function_00059,FUN_7100013520,unidentified_function_7100013520,7100013520,internal,recovered_body,0,,,,4795276,4795356,161654745,161656864,161654739,161656864,src/functions/internal/batch_00/7100000000/1981_functions.inc,281594,"uint FUN_7100013520(long *param_1,ulong *param_2)"
function_00060,FUN_71000136d0,unidentified_function_71000136d0,71000136d0,internal,recovered_body,0,,,,4795360,4795398,161656870,161658198,161656864,161658198,src/functions/internal/batch_00/7100000000/1981_functions.inc,283719,"long FUN_71000136d0(undefined8 param_1,undefined2 *param_2,int param_3)"
function_00061,FUN_7100013830,unidentified_function_7100013830,7100013830,internal,recovered_body,0,,,,4795402,4795676,161658204,161671733,161658198,161671733,src/functions/internal/batch_00/7100000000/1981_functions.inc,285053,"long FUN_7100013830(undefined2 *param_1,uint param_2,int param_3)"
function_00062,FUN_7100013ec0,unidentified_function_7100013ec0,7100013ec0,internal,recovered_body,0,,,,4795680,4795732,161671739,161673435,161671733,161673435,src/functions/internal/batch_00/7100000000/1981_functions.inc,298588,long * FUN_7100013ec0(void)
function_00063,FUN_7100013fd0,unidentified_function_7100013fd0,7100013fd0,internal,recovered_body,0,,,,4795736,4795777,161673441,161675150,161673435,161675150,src/functions/internal/batch_00/7100000000/1981_functions.inc,300290,void FUN_7100013fd0(auto_FUN_7100013fd0_param_1 *param_1)
function_00064,FUN_71000140e0,unidentified_function_71000140e0,71000140e0,internal,recovered_body,0,,,,4795781,4795871,161675156,161678045,161675150,161678045,src/functions/internal/batch_00/7100000000/1981_functions.inc,302005,"undefined8 FUN_71000140e0(long param_1,auto_FUN_71000140e0_param_2 *param_2,ulong param_3,uint *param_4, uint *param_5,uint *param_6)"
function_00065,FUN_7100014320,unidentified_function_7100014320,7100014320,internal,recovered_body,0,,,,4795875,4795919,161678051,161679886,161678045,161679886,src/functions/internal/batch_00/7100000000/1981_functions.inc,304900,"undefined8 FUN_7100014320(long param_1,auto_FUN_7100014320_param_2 *param_2,ulong param_3,uint *param_4, uint *param_5,uint *param_6)"
function_00066,FUN_7100014480,unidentified_function_7100014480,7100014480,internal,recovered_body,0,,,,4795923,4796025,161679892,161683105,161679886,161683105,src/functions/internal/batch_00/7100000000/1981_functions.inc,306741,"int FUN_7100014480(long param_1,auto_FUN_7100014480_param_2 *param_2,ulong param_3,uint *param_4, uint *param_5,uint *param_6)"
function_00067,FUN_7100014690,unidentified_function_7100014690,7100014690,internal,recovered_body,0,,,,4796029,4796051,161683111,161683905,161683105,161683905,src/functions/internal/batch_00/7100000000/1981_functions.inc,309960,"undefined8 FUN_7100014690(long param_1,auto_FUN_7100014690_param_2 *param_2,ulong param_3,uint *param_4, uint *param_5,uint *param_6)"
