type_id,record_id,raw_name,canonical_name,symbol_kind,record_kind,category,owner_function,address,source_line_start,source_line_end,source_byte_start,source_byte_end,output_file,output_payload_offset,raw_typedef
type_00060,type_record_0033,auto_FUN_71000a86a0_pbVar18,inferred_function_type_71000a86a0_pbvar18,typedef_alias,struct,generated_functions,FUN_71000a86a0,71000a86a0,119629,119637,4064193,4064468,src/types/generated/functions/7100000000/0009_types.inc,228,"typedef struct auto_FUN_71000a86a0_pbVar18 auto_FUN_71000a86a0_pbVar18, *Pauto_FUN_71000a86a0_pbVar18;"
type_00061,type_record_0033,Pauto_FUN_71000a86a0_pbVar18,pointer_to_inferred_function_type_71000a86a0_pbvar18,pointer_typedef,struct,generated_functions,FUN_71000a86a0,71000a86a0,119629,119637,4064193,4064468,src/types/generated/functions/7100000000/0009_types.inc,228,"typedef struct auto_FUN_71000a86a0_pbVar18 auto_FUN_71000a86a0_pbVar18, *Pauto_FUN_71000a86a0_pbVar18;"
type_00062,type_record_0034,auto_FUN_71000c2e70_plVar7,inferred_function_type_71000c2e70_plvar7,struct_tag,struct,generated_functions,FUN_71000c2e70,71000c2e70,119639,119644,4064470,4064665,src/types/generated/functions/7100000000/0009_types.inc,505,"typedef struct auto_FUN_71000c2e70_plVar7 auto_FUN_71000c2e70_plVar7, *Pauto_FUN_71000c2e70_plVar7;"
type_00063,type_record_0034,auto_FUN_71000c2e70_plVar7,inferred_function_type_71000c2e70_plvar7,typedef_alias,struct,generated_functions,FUN_71000c2e70,71000c2e70,119639,119644,4064470,4064665,src/types/generated/functions/7100000000/0009_types.inc,505,"typedef struct auto_FUN_71000c2e70_plVar7 auto_FUN_71000c2e70_plVar7, *Pauto_FUN_71000c2e70_plVar7;"
type_00064,type_record_0034,Pauto_FUN_71000c2e70_plVar7,pointer_to_inferred_function_type_71000c2e70_plvar7,pointer_typedef,struct,generated_functions,FUN_71000c2e70,71000c2e70,119639,119644,4064470,4064665,src/types/generated/functions/7100000000/0009_types.inc,505,"typedef struct auto_FUN_71000c2e70_plVar7 auto_FUN_71000c2e70_plVar7, *Pauto_FUN_71000c2e70_plVar7;"
type_00065,type_record_0035,auto_FUN_71000c2e70_param_1,inferred_function_type_71000c2e70_param_1,struct_tag,struct,generated_functions,FUN_71000c2e70,71000c2e70,119646,119665,4064667,4065249,src/types/generated/functions/7100000000/0009_types.inc,702,"typedef struct auto_FUN_71000c2e70_param_1 auto_FUN_71000c2e70_param_1, *Pauto_FUN_71000c2e70_param_1;"
type_00066,type_record_0035,auto_FUN_71000c2e70_param_1,inferred_function_type_71000c2e70_param_1,typedef_alias,struct,generated_functions,FUN_71000c2e70,71000c2e70,119646,119665,4064667,4065249,src/types/generated/functions/7100000000/0009_types.inc,702,"typedef struct auto_FUN_71000c2e70_param_1 auto_FUN_71000c2e70_param_1, *Pauto_FUN_71000c2e70_param_1;"
type_00067,type_record_0035,Pauto_FUN_71000c2e70_param_1,pointer_to_inferred_function_type_71000c2e70_param_1,pointer_typedef,struct,generated_functions,FUN_71000c2e70,71000c2e70,119646,119665,4064667,4065249,src/types/generated/functions/7100000000/0009_types.inc,702,"typedef struct auto_FUN_71000c2e70_param_1 auto_FUN_71000c2e70_param_1, *Pauto_FUN_71000c2e70_param_1;"
type_00068,type_record_0036,auto_FUN_710035f600_param_1,inferred_function_type_710035f600_param_1,struct_tag,struct,generated_functions,FUN_710035f600,710035f600,119667,119672,4065251,4065449,src/types/generated/functions/7100300000/0010_types.inc,0,"typedef struct auto_FUN_710035f600_param_1 auto_FUN_710035f600_param_1, *Pauto_FUN_710035f600_param_1;"
type_00069,type_record_0036,auto_FUN_710035f600_param_1,inferred_function_type_710035f600_param_1,typedef_alias,struct,generated_functions,FUN_710035f600,710035f600,119667,119672,4065251,4065449,src/types/generated/functions/7100300000/0010_types.inc,0,"typedef struct auto_FUN_710035f600_param_1 auto_FUN_710035f600_param_1, *Pauto_FUN_710035f600_param_1;"
type_00070,type_record_0036,Pauto_FUN_710035f600_param_1,pointer_to_inferred_function_type_710035f600_param_1,pointer_typedef,struct,generated_functions,FUN_710035f600,710035f600,119667,119672,4065251,4065449,src/types/generated/functions/7100300000/0010_types.inc,0,"typedef struct auto_FUN_710035f600_param_1 auto_FUN_710035f600_param_1, *Pauto_FUN_710035f600_param_1;"
type_00071,type_record_0037,auto_FUN_7100221310_param_1,inferred_function_type_7100221310_param_1,struct_tag,struct,generated_functions,FUN_7100221310,7100221310,119674,119679,4065451,4065649,src/types/generated/functions/7100200000/0011_types.inc,0,"typedef struct auto_FUN_7100221310_param_1 auto_FUN_7100221310_param_1, *Pauto_FUN_7100221310_param_1;"
type_00072,type_record_0037,auto_FUN_7100221310_param_1,inferred_function_type_7100221310_param_1,typedef_alias,struct,generated_functions,FUN_7100221310,7100221310,119674,119679,4065451,4065649,src/types/generated/functions/7100200000/0011_types.inc,0,"typedef struct auto_FUN_7100221310_param_1 auto_FUN_7100221310_param_1, *Pauto_FUN_7100221310_param_1;"
type_00073,type_record_0037,Pauto_FUN_7100221310_param_1,pointer_to_inferred_function_type_7100221310_param_1,pointer_typedef,struct,generated_functions,FUN_7100221310,7100221310,119674,119679,4065451,4065649,src/types/generated/functions/7100200000/0011_types.inc,0,"typedef struct auto_FUN_7100221310_param_1 auto_FUN_7100221310_param_1, *Pauto_FUN_7100221310_param_1;"
type_00074,type_record_0038,auto_FUN_7100196a30_param_1,inferred_function_type_7100196a30_param_1,struct_tag,struct,generated_functions,FUN_7100196a30,7100196a30,119681,119702,4065651,4066285,src/types/generated/functions/7100100000/0012_types.inc,0,"typedef struct auto_FUN_7100196a30_param_1 auto_FUN_7100196a30_param_1, *Pauto_FUN_7100196a30_param_1;"
type_00075,type_record_0038,auto_FUN_7100196a30_param_1,inferred_function_type_7100196a30_param_1,typedef_alias,struct,generated_functions,FUN_7100196a30,7100196a30,119681,119702,4065651,4066285,src/types/generated/functions/7100100000/0012_types.inc,0,"typedef struct auto_FUN_7100196a30_param_1 auto_FUN_7100196a30_param_1, *Pauto_FUN_7100196a30_param_1;"
type_00076,type_record_0038,Pauto_FUN_7100196a30_param_1,pointer_to_inferred_function_type_7100196a30_param_1,pointer_typedef,struct,generated_functions,FUN_7100196a30,7100196a30,119681,119702,4065651,4066285,src/types/generated/functions/7100100000/0012_types.inc,0,"typedef struct auto_FUN_7100196a30_param_1 auto_FUN_7100196a30_param_1, *Pauto_FUN_7100196a30_param_1;"
type_00077,type_record_0039,auto_FUN_710015dea0_param_1,inferred_function_type_710015dea0_param_1,struct_tag,struct,generated_functions,FUN_710015dea0,710015dea0,119704,119725,4066287,4066927,src/types/generated/functions/7100100000/0012_types.inc,636,"typedef struct auto_FUN_710015dea0_param_1 auto_FUN_710015dea0_param_1, *Pauto_FUN_710015dea0_param_1;"
type_00078,type_record_0039,auto_FUN_710015dea0_param_1,inferred_function_type_710015dea0_param_1,typedef_alias,struct,generated_functions,FUN_710015dea0,710015dea0,119704,119725,4066287,4066927,src/types/generated/functions/7100100000/0012_types.inc,636,"typedef struct auto_FUN_710015dea0_param_1 auto_FUN_710015dea0_param_1, *Pauto_FUN_710015dea0_param_1;"
type_00079,type_record_0039,Pauto_FUN_710015dea0_param_1,pointer_to_inferred_function_type_710015dea0_param_1,pointer_typedef,struct,generated_functions,FUN_710015dea0,710015dea0,119704,119725,4066287,4066927,src/types/generated/functions/7100100000/0012_types.inc,636,"typedef struct auto_FUN_710015dea0_param_1 auto_FUN_710015dea0_param_1, *Pauto_FUN_710015dea0_param_1;"
type_00080,type_record_0040,auto_FUN_71000bc5c0_puVar6,inferred_function_type_71000bc5c0_puvar6,struct_tag,struct,generated_functions,FUN_71000bc5c0,71000bc5c0,119727,119733,4066929,4067150,src/types/generated/functions/7100000000/0013_types.inc,0,"typedef struct auto_FUN_71000bc5c0_puVar6 auto_FUN_71000bc5c0_puVar6, *Pauto_FUN_71000bc5c0_puVar6;"
type_00081,type_record_0040,auto_FUN_71000bc5c0_puVar6,inferred_function_type_71000bc5c0_puvar6,typedef_alias,struct,generated_functions,FUN_71000bc5c0,71000bc5c0,119727,119733,4066929,4067150,src/types/generated/functions/7100000000/0013_types.inc,0,"typedef struct auto_FUN_71000bc5c0_puVar6 auto_FUN_71000bc5c0_puVar6, *Pauto_FUN_71000bc5c0_puVar6;"
type_00082,type_record_0040,Pauto_FUN_71000bc5c0_puVar6,pointer_to_inferred_function_type_71000bc5c0_puvar6,pointer_typedef,struct,generated_functions,FUN_71000bc5c0,71000bc5c0,119727,119733,4066929,4067150,src/types/generated/functions/7100000000/0013_types.inc,0,"typedef struct auto_FUN_71000bc5c0_puVar6 auto_FUN_71000bc5c0_puVar6, *Pauto_FUN_71000bc5c0_puVar6;"
type_00083,type_record_0041,auto_FUN_710011ae70_param_1,inferred_function_type_710011ae70_param_1,struct_tag,struct,generated_functions,FUN_710011ae70,710011ae70,119735,119741,4067152,4067373,src/types/generated/functions/7100100000/0014_types.inc,0,"typedef struct auto_FUN_710011ae70_param_1 auto_FUN_710011ae70_param_1, *Pauto_FUN_710011ae70_param_1;"
